Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,,
Data,0,file_id,serial_number,3342478993,,time_created,1044371400,,manufacturer,1,,garmin_product,3290,,number,8,,type,32,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,
Data,1,device_info,timestamp,1044371400,s,serial_number,3342478993,,manufacturer,1,,garmin_product,3290,,software_version,24.1,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,
Data,2,software,version,6,,,,,,,,,,,,,,,,,,
Definition,4,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,resting_metabolic_rate,1,,activity_type,2,,,
Data,4,monitoring_info,timestamp,1044371400,s,local_timestamp,1044360600,s,cycles_to_distance,1.4924|2.2386,m/cycle,cycles_to_calories,0.036|0.1138,kcal/cycle,resting_metabolic_rate,1775,kcal / day,activity_type,6|1,,,
Definition,2,monitoring,timestamp,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp,1044371700,s,current_activity_type_intensity,9,,activity_type,9,,intensity,0,,,,,,,,,
Definition,3,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1
Data,3,monitoring,timestamp,1044371700,s,distance,200.12,m,steps,300,cycles,active_time,51,s,active_calories,0,kcal,duration_min,907,min,activity_type,6